ID,abbreviation,name,Zip,latitude,longitude,TSR,logo,newscasts,localstories,Sum of NPR One Large Logo,Sum of NPR One Display Name,Sum of Station Hello,Sum of Pledge URL,Sum of Pledge Audio,Sum of *ANY* Sonic ID,cume,npronelogo
329,WBUR,WBUR,2215,42.3476181,-71.1002881,25677966,station_logos/wbur.gif,1,1,1,2,0,1,2,0,176580,npr_one_logos/wbur.png
338,WCBE-FM,WCBE 90.5FM,43215,39.9602601,-83.0092803,1549575,station_logos/wcbe_fm.gif,0,0,0,0,0,0,0,0,11916,
339,WCBU-FM,WCBU,61625,40.6964443,-89.616008,1159288,station_logos/wcbu_fm.gif,0,1,1,1,0,1,0,0,0,npr_one_logos/wcbu_fm.png
341,CMUPR,CMU Public Radio,48858,43.6151255,-84.7942091,,station_logos/cmupr.gif,0,0,1,3,0,0,0,0,6225,npr_one_logos/cmupr.png
352,WCPN,90.3 WCPN ideastream,44115,41.4963405,-81.6719914,6368291,,1,1,1,2,0,0,0,0,0,
354,WCQS-FM,WCQS - Western North Carolina Public Radio,28801,35.5927461,-82.5564559,1758373,station_logos/wcqs_fm.gif,0,1,0,1,0,1,1,0,15566,
356,WCVE-FM,WCVE,23235,37.5213394,-77.5734048,2973531,station_logos/wcve_fm.gif,1,1,1,1,0,0,0,1,12681,npr_one_logos/wcve_fm.png
358,WDET-FM,WDET Detroit,48201,42.348495,-83.0602998,3908259,station_logos/wdet_fm.gif,1,0,1,1,1,1,0,1,15424,npr_one_logos/wdet_fm.png
360,WESA-FM,90.5 WESA,15203,40.4293034,-79.9724245,2762039,station_logos/wesa_fm.gif,1,1,1,1,0,1,0,1,17993,npr_one_logos/wesa_fm.png
362,WEKU-FM,WEKU,40475,37.799041,-84.3121264,1448134,station_logos/weku_fm.gif,1,1,0,1,0,0,0,0,7465,
365,WPR,Wisconsin Public Radio,53713,43.0324123,-89.3843206,5409066,station_logos/wpr.gif,1,0,1,13,1,1,1,1,65250,npr_one_logos/wpr.png
371,WESM-FM,WESM 91.3 FM,,38.216912,-75.737149,,station_logos/wesm_fm.gif,0,0,0,0,0,0,0,0,1170,
374,WETS-FM,WETS,,36.30409,-82.36247,,,0,0,0,0,0,0,0,0,0,
375,NHPR,New Hampshire Public Radio,3301,43.2086343,-71.5486562,5655144,station_logos/nhpr.gif,1,1,1,9,0,0,0,1,33042,npr_one_logos/nhpr.png
380,WFAE-FM,WFAE,28262,35.3301529,-80.7325287,4530179,station_logos/wfae_fm.gif,0,1,0,0,0,1,0,0,36364,
383,WFDD-FM,88.5 WFDD - Public Radio For The Piedmont,27109,36.1341553,-80.2781262,2692456,station_logos/wfdd_fm.gif,0,0,1,1,0,0,0,0,13433,npr_one_logos/wfdd_fm.png
384,WFIT-FM,WFIT,32901,28.0600145,-80.621591,2186850,station_logos/wfit_fm.gif,0,0,0,1,0,0,0,0,3400,
385,WFIU-FM,WFIU,47405,39.1714266,-86.5186022,2151798,station_logos/wfiu_fm.gif,1,1,1,1,0,0,0,1,0,npr_one_logos/wfiu_fm.png
386,LPM,Louisville Public Media,40202,38.2556928,-85.751283,1880247,station_logos/lpm.gif,1,0,1,2,0,1,0,0,4358,
389,WFSS-FM,WFSS,28301,35.0637521,-78.8722341,,,0,0,0,0,0,0,0,0,0,
390,WFSU-FM,WFSU,32310,30.419161,-84.3504913,3180370,station_logos/wfsu_fm.gif,0,1,1,1,0,0,0,0,9097,npr_one_logos/wfsu_fm.png
394,WFYI-FM,WFYI Public Radio,46202,39.7794767,-86.1700894,4025269,station_logos/wfyi_fm.gif,1,1,1,1,0,0,0,0,11,npr_one_logos/wfyi_fm.png
395,WGBH,WGBH Radio,2135,42.3463503,-71.1626756,7521996,station_logos/wgbh.gif,4,2,1,4,0,1,0,0,143121,npr_one_logos/wgbh.png
399,WGCU,WGCU,33965,26.4588273,-81.7622951,1768436,station_logos/wgcu.gif,0,1,0,1,0,0,0,0,12622,
402,WGLT-FM,WGLT,,40.510264,-88.997958,,station_logos/wglt_fm.gif,1,1,1,1,1,1,1,1,10791,npr_one_logos/wglt_fm.png
403,WGTE,WGTE,43614,41.5993157,-83.6295222,,station_logos/wgte.gif,0,0,0,0,0,0,0,0,4975,
409,WGVU,WGVU Radio,49504,42.9880623,-85.7153754,,station_logos/wgvu.gif,0,0,0,0,0,0,0,0,5845,
429,WHQR-FM,HQR News,28401,34.3023653,-77.9852853,1122916,station_logos/whqr_fm.gif,0,1,1,1,0,0,0,0,6751,npr_one_logos/whqr_fm.png
